;Entidad Federativa;Sexo;Salario;Año;Trimestre
108;Quintana Roo;Hombres;9593.76;2005;Trimestre II
109;Quintana Roo;Mujeres;6463.6;2005;Trimestre II
110;San Luis Potosí;Hombres;6411.42;2005;Trimestre II
111;San Luis Potosí;Mujeres;4828.04;2005;Trimestre II
112;Sinaloa;Hombres;7919.67;2005;Trimestre II
113;Sinaloa;Mujeres;5187.2;2005;Trimestre II
114;Sonora;Hombres;9508.36;2005;Trimestre II
115;Sonora;Mujeres;6390.96;2005;Trimestre II
116;Tabasco;Hombres;6830.4;2005;Trimestre II
117;Tabasco;Mujeres;5483.64;2005;Trimestre II
118;Tamaulipas;Hombres;8665.07;2005;Trimestre II
119;Tamaulipas;Mujeres;5925.1;2005;Trimestre II
120;Tlaxcala;Hombres;5631.26;2005;Trimestre II
121;Tlaxcala;Mujeres;4147.02;2005;Trimestre II
122;Veracruz de Ignacio de la Llave;Hombres;5780.83;2005;Trimestre II
123;Veracruz de Ignacio de la Llave;Mujeres;4387.94;2005;Trimestre II
124;Yucatán;Hombres;6359.22;2005;Trimestre II
125;Yucatán;Mujeres;4354.34;2005;Trimestre II
126;Zacatecas;Hombres;5519.13;2005;Trimestre II
127;Zacatecas;Mujeres;4449.06;2005;Trimestre II
128;Aguascalientes;Hombres;8228.39;2005;Trimestre III
129;Aguascalientes;Mujeres;6458.98;2005;Trimestre III
130;Baja California;Hombres;11719.86;2005;Trimestre III
131;Baja California;Mujeres;9139.68;2005;Trimestre III
132;Baja California Sur;Hombres;11123.71;2005;Trimestre III
133;Baja California Sur;Mujeres;7949.36;2005;Trimestre III
134;Campeche;Hombres;6978.56;2005;Trimestre III
135;Campeche;Mujeres;4887.74;2005;Trimestre III
136;Coahuila de Zaragoza;Hombres;9448.11;2005;Trimestre III
137;Coahuila de Zaragoza;Mujeres;6625.97;2005;Trimestre III
138;Colima;Hombres;9201.22;2005;Trimestre III
139;Colima;Mujeres;5537.32;2005;Trimestre III
140;Chiapas;Hombres;3555.81;2005;Trimestre III
141;Chiapas;Mujeres;3236.08;2005;Trimestre III
142;Chihuahua;Hombres;9463.91;2005;Trimestre III
143;Chihuahua;Mujeres;6907.88;2005;Trimestre III
144;Ciudad de México;Hombres;9772.02;2005;Trimestre III
145;Ciudad de México;Mujeres;7697.69;2005;Trimestre III
146;Durango;Hombres;6180.09;2005;Trimestre III
147;Durango;Mujeres;5405.96;2005;Trimestre III
148;Guanajuato;Hombres;6707.1;2005;Trimestre III
149;Guanajuato;Mujeres;4364.9;2005;Trimestre III
150;Guerrero;Hombres;4295.71;2005;Trimestre III
151;Guerrero;Mujeres;3928.26;2005;Trimestre III
152;Hidalgo;Hombres;5402.96;2005;Trimestre III
153;Hidalgo;Mujeres;3655.04;2005;Trimestre III
154;Jalisco;Hombres;8014.79;2005;Trimestre III
155;Jalisco;Mujeres;4964.86;2005;Trimestre III
156;México;Hombres;7430.21;2005;Trimestre III
157;México;Mujeres;5654.41;2005;Trimestre III
158;Michoacán de Ocampo;Hombres;5974.27;2005;Trimestre III
159;Michoacán de Ocampo;Mujeres;3822.17;2005;Trimestre III
160;Morelos;Hombres;6541.64;2005;Trimestre III
161;Morelos;Mujeres;4583.51;2005;Trimestre III
162;Nayarit;Hombres;6562.68;2005;Trimestre III
163;Nayarit;Mujeres;4794.98;2005;Trimestre III
164;Nuevo León;Hombres;11037.72;2005;Trimestre III
165;Nuevo León;Mujeres;7714.78;2005;Trimestre III
166;Oaxaca;Hombres;4040.33;2005;Trimestre III
167;Oaxaca;Mujeres;3079.03;2005;Trimestre III
